impl,msg_size,threads,throughput_gbps,avg_latency_us,cycles,l1_misses,llc_misses,context_switches
A1,64,1,0.076512,6.668,5969284529,95790117,8595,448293
A2,64,1,0.077140,6.613,6163132962,91681735,3149,451974
A3,64,1,0.066025,7.731,5872137432,109522240,3624,386867
A1,64,2,0.149765,6.809,12105165925,187832134,3087,877573
A2,64,2,0.147145,6.934,11905751370,187834218,1995,862214
A3,64,2,0.128925,7.917,12295995668,200960747,3259,755485
A1,64,4,0.279624,7.283,24747459378,351236218,6242,1638546
A2,64,4,0.269664,7.551,23377008438,344167428,3841,1580156
A3,64,4,0.228326,8.925,23286031848,392772273,12082,1337972
A1,64,8,0.421397,9.666,47172926564,656536113,13563,2470384
A2,64,8,0.404766,10.063,43772732446,673563238,18375,2372981
A3,64,8,0.269525,15.127,35863382485,553633259,10105,1580167
A1,256,1,0.313363,6.511,6056496887,95678404,1725,459016
A2,256,1,0.298153,6.845,6022696047,94212463,2782,436748
A3,256,1,0.258133,7.910,5896509605,116676196,3976,378122
A1,256,2,0.518509,7.871,10852227644,169021439,4224,759601
A2,256,2,0.529199,7.712,10747366999,165837919,2089,775338
A3,256,2,0.453857,8.996,10816342348,190118201,3694,664995
A1,256,4,0.858253,9.491,19270539752,278494289,7078,1257351
A2,256,4,0.821832,9.912,18869544979,282687636,7773,1204062
A3,256,4,0.708057,11.515,18462259042,316393673,7600,1037349
A1,256,8,1.213421,13.427,33559877399,515284237,68693,1779364
A2,256,8,1.150880,14.159,32648922859,512187813,79426,1688427
A3,256,8,1.040414,15.675,34076345164,575101910,21307,1525439
A1,1024,1,1.102493,7.405,5701131473,111110785,11616,403741
A2,1024,1,1.119344,7.294,5483215659,119673456,10363,409882
A3,1024,1,0.967934,8.438,5813816044,120672867,9551,354673
A1,1024,2,1.969955,8.287,10678931369,181073586,9998,721472
A2,1024,2,1.958527,8.334,10575674904,198893324,13775,717292
A3,1024,2,1.734383,9.416,11053478917,217463350,9869,635198
A1,1024,4,3.199413,10.186,18983523701,336682034,11536,1171948
A2,1024,4,3.154346,10.332,19166768156,321871944,12493,1155347
A3,1024,4,2.745186,11.882,20011326868,355790570,12153,1005531
A1,1024,8,4.964732,13.129,36128072909,607046117,22813,1819634
A2,1024,8,5.084193,12.819,34873761110,646809563,27834,1863703
A3,1024,8,4.241239,15.380,36129260231,655456695,31738,1554582
A1,4096,1,4.180957,7.812,7375784236,190998009,10671,382801
A2,4096,1,4.049338,8.066,7260063227,191035851,8411,370786
A3,4096,1,3.919599,8.335,6831976554,195281418,7313,358805
A1,4096,2,7.912216,8.254,14179448511,349277805,10052,724362
A2,4096,2,7.607299,8.585,14048236363,345673257,12171,696363
A3,4096,2,6.775767,9.643,13115099988,352381801,8969,620356
A1,4096,4,11.549147,11.290,23988024998,556703336,80352,1057999
A2,4096,4,12.017162,10.851,24714250137,559162192,14761,1100522
A3,4096,4,10.711051,12.184,22946374011,583715561,15363,980892
A1,4096,8,18.824091,13.854,44893103814,1041250902,34135,1725089
A2,4096,8,18.851234,13.835,45149652833,1037553119,33210,1727674
A3,4096,8,16.387320,15.923,42838808105,1028588811,43284,1502063
